"Palavra","Tipo"
"a","AD"
"à","PR"
"a!","PD"
"a!","PP"
"a!","PR"
"a+fim+de","PR"
"a+qual","PL"
"a+respeito+de","PR"
"abaixo","AV"
"abaixo","IT"
"abaixo+de","PR"
"absolutamente","AV"
"acaso","AV"
"acerca+de","PR"
"acima","AV"
"acima+de","PR"
"adiante","AV"
"adiante","IT"
"agora","AV"
"ah","IT"
"ai","IT"
"ainda","AV"
"além","AV"
"além+de","PR"
"algo","PI"
"alguém","PI"
"algum","PI"
"ali","AV"
"alve","IT"
"amanhã","AV"
"amém","IT"
"ânimo","IT"
"ante","PR"
"antes","AV"
"antes+de","PR"
"ao","PR"
"ao!","PR+AD"
"ao+invés+de","PR"
"ao+redor+de","PR"
"aos","PR"
"aos!","PR+AD"
"apessar+de","PR"
"apoiado","IT"
"após","PR"
"aquela","PD"
"aquelas","PD"
"aquele","PD"
"aqueles","PD"
"aqui","AV"
"aqui","IT"
"aquilo","PD"
"arre","IT"
"as","AD"
"as!","PD"
"as!","PP"
"às!","PR+AD"
"as+quais","PL"
"assaz","AV"
"assim","AV"
"assim","CJ"
"até","PR"
"até+a","PR"
"atrás","AV"
"basta","IT"
"bastante","AV"
"bastante","PI"
"bem","AV"
"bem+como","CJ"
"bilhão","NC"
"bilionésimo","NO"
"bis","IT"
"boa","IT"
"bravo","IT"
"c","NR"
"cá","AV"
"cada","PI"
"caramba","IT"
"catorze","NC"
"cc","NR"
"ccc","NR"
"cd","NR"
"cedo","AV"
"cem","NC"
"centésimo","NO"
"cêntuplo","NM"
"certamente","AV"
"certo","PI"
"chega","IT"
"ci","NR"
"cibtudo","CJ"
"cinco","NC"
"cinqüenta","NC"
"cinquenta","NC"
"cm","NR"
"com","PR"
"comigo","PP"
"como+também","CJ"
"como+um","LG"
"conforme","PR"
"conosco","PP"
"consigo","PP"
"contigo","PP"
"contra","PR"
"convosco","PP"
"coragem","IT"
"credo","IT"
"cruzes","IT"
"cuja","PL"
"cujas","PL"
"cujo","PL"
"cujos","PL"
"d","NR"
"da!","PR+AD"
"daquilo","PR"
"das!","PR+AD"
"dc","NR"
"dcc","NR"
"dccc","NR"
"de","PR"
"de+acordo+com","PR"
"debaixo+de","PR"
"décimo","NO"
"décuplo","NM"
"defronte+de","PR"
"demais","AV"
"dentreo+de","PR"
"dentro","AV"
"depois","AV"
"depois+de","PR"
"depressa","AV"
"desde","PR"
"dessa","PD"
"desta","PD"
"destas","PD"
"deste","PD"
"destes","PD"
"devagar","AV"
"deveras","AV"
"dez","NC"
"dezenove","NC"
"dezeoito","NC"
"dezesseis","NC"
"dezessete","NC"
"diante+de","PR"
"disto","PD"
"do","PR"
"do!","PR+AD"
"dobro","NM"
"dois","NC"
"dos!","PR+AD"
"doze","NC"
"ducentésimo","NO"
"dum!","PR+AI"
"duma!","PR+AI"
"dumas!","PR+AI"
"duns!","PR+AI"
"duodécimo","NO"
"duodécuplo","NM"
"dúplice","NM"
"duplo","NM"
"duramente","AV"
"durante","PR"
"duzentos","NC"
"e","CJ"
"e+não","CJ"
"eh","IT"
"ei","IT"
"eia","IT"
"ela","PP"
"elas","PP"
"ele","PP"
"eles","PP"
"em","PR"
"em+cima+de","PR"
"em+face+de","PR"
"em+frente+a","PR"
"em+frente+de","PR"
"em+lugar+de","PR"
"em+vez+de","PR"
"entre","PR"
"entretanto","CJ"
"essa","PD"
"essas","PD"
"esse","PD"
"esses","PD"
"esta","PD"
"estas","PD"
"este","PD"
"estes","PD"
"eu","PP"
"facilmente","AV"
"firme","IT"
"fora","AV"
"fora","IT"
"fora de","PR"
"força","IT"
"francamente","IT"
"hein","IT"
"hem","IT"
"hum","IT"
"i","NR"
"ih","IT"
"ii","NR"
"iii","NR"
"irra","IT"
"isso","PD"
"isto","PD"
"iv","NR"
"ix","NR"
"já","AV"
"já","CJ"
"jamais","AV"
"junto a","PR"
"junto de","PR"
"l","NR"
"lá","AV"
"lhe","PP"
"lhes","PP"
"livra","IT"
"logo","AV"
"logo","CJ"
"longe","AV"
"lx","NR"
"lxx","NR"
"lxxx","NR"
"mais","AV"
"mal","AV"
"mas","CJ"
"mas+ainda","CJ"
"mas+também","CJ"
"me","PP"
"mediante","PR"
"meio","AV"
"meio","NM"
"melhor","AV"
"menos","AV"
"mesmo","PD"
"metade","NM"
"meu","PS"
"meus","PS"
"mil","NC"
"milésimo","NO"
"milésimos","NO"
"milhão","NC"
"milionésimo","NO"
"mim","PP"
"minha","PS"
"minhas","PS"
"muito","AV"
"muito","PI"
"na","PR"
"na!","PR+AD"
"nada","AV"
"nada","PI"
"não","AV"
"não+obstane","CJ"
"não+obstante","PR"
"não+sí","CJ"
"não+só","CJ"
"naquilo","PR"
"nas!","PR+AD"
"nem","CJ"
"nenhum","PI"
"ninguém","PI"
"no!","PR+AD"
"no+caso+de","PR"
"no+entanto","CJ"
"nonagésimo","NO"
"nongentésimo","NO"
"nono","NO"
"nônuplo","NM"
"nós","PP"
"nos!","PR+AD"
"nossa","IT"
"nossa","PS"
"nossas","PS"
"nosso","PS"
"nossos","PS"
"nove","NC"
"novecentos","NC"
"noventa","NC"
"num!","PR+AI"
"numa!","PR+AI"
"numas!","PR+AI"
"nunca","AV"
"nuns!","PR+AI"
"o","AD"
"ó","IT"
"ô","IT"
"o!","PD"
"o!","PP"
"o!","PR"
"o+qual","PL"
"o+que","CJ"
"oba","IT"
"octogésimo","NO"
"óctuplo","NM"
"oh","IT"
"oitavo","NO"
"oitenta","NC"
"oito","NC"
"oitocentos","NC"
"olá","IT"
"onde","PL"
"onze","NC"
"ora","CJ"
"ora","IT"
"os","AD"
"os","PR"
"os!","PD"
"os!","PP"
"os+quais","PL"
"ou","CJ"
"outrem","PI"
"outro","PI"
"outrora","AV"
"oxalá","IT"
"para","PR"
"para+com","PR"
"pela!","PR+AD"
"pelas!","PR+AD"
"pelo!","PR+AD"
"pelos!","PR+AD"
"perante","PR"
"perdão","IT"
"perto","AV"
"perto+de","PR"
"pior","AV"
"pois","CJ"
"por","PR"
"por+conseguinte","CJ"
"por+isso","CJ"
"por+trás+de","PR"
"porém","CJ"
"porquanto","CJ"
"porque","CJ"
"portanto","CJ"
"porventura","AV"
"pouco","PI"
"pra","PR"
"primeiro","NO"
"próprio","PD"
"psiu","IT"
"puxa","IT"
"quadragésimo","NO"
"quadringentésimo","NO"
"quádruplo","NM"
"qualquer","PI"
"quantas","PL"
"quanto","PL"
"quantos","PL"
"quarenta","NC"
"quarto","NO"
"quase","AV"
"quaternário","NM"
"quatorze","NC"
"quatro","NC"
"quatrocentos","NC"
"que","CJ"
"que","PL"
"quê","IT"
"qüingentésimo","NO"
"qüinquagésimo","NO"
"quem","PL"
"quem!","PI"
"quer","CJ"
"quiça","AV"
"quinhentos","NC"
"quinquagésimo","NO"
"quinto","NO"
"quíntuplo","NM"
"quinze","NC"
"raios","IT"
"rapidamente","AV"
"realmente","AV"
"safa","IT"
"se","PP"
"segundo","NO"
"segundo","PR"
"seis","NC"
"seiscentésimo","NO"
"seiscentos","NC"
"seja","CJ"
"sem","PR"
"sempre","AV"
"septingentéssimo","NO"
"septuagésimo","NO"
"sessenta","NC"
"sete","NC"
"setecentos","NC"
"setenta","NC"
"sétimo","NO"
"setuagésimo","NO"
"sétuplo","NM"
"seu","PS"
"seus","PS"
"sexagésimo","NO"
"sexcentésimo","NO"
"sexto","NO"
"sêxtuplo","NM"
"si","PP"
"sim","AV"
"sob","PR"
"sobre","PR"
"sua","PS"
"suas","PS"
"tais","PD"
"tal","PD"
"talvez","AV"
"tanto","PI"
"tão","AV"
"tarde","AV"
"tchau","IT"
"te","PP"
"terceiro","NO"
"terço","NM"
"teu","PS"
"teus","PS"
"ti","PP"
"toca","IT"
"todavia","CJ"
"todo","PI"
"tomara","IT"
"trás","PR"
"trecentésimo","NO"
"três","NC"
"treze","NC"
"trezentos","NC"
"trigésimo","NO"
"trinta","NC"
"tríplice","NM"
"triplo","NM"
"tu","PP"
"tua","PS"
"tuas","PS"
"tudo","PI"
"ufa","IT"
"ui","IT"
"um","AI"
"um","NC"
"um","PI"
"uma","AI"
"umas","AI"
"undécimo","NO"
"undécuplo","NM"
"uns","AI"
"v","NR"
"vamos","IT"
"vário","PI"
"vi","NR"
"vigésimo","NO"
"viii","NR"
"vinte","NC"
"viva","IT"
"vós","PP"
"vossa","PS"
"vossas","PS"
"vosso","PS"
"vossos","PS"
"x","NR"
"xc","NR"
"xi","NR"
"xii","NR"
"xiii","NR"
"xiv","NR"
"xix","NR"
"xl","NR"
"xô","IT"
"xv","NR"
"xvi","NR"
"xvii","NR"
"xviii","NR"
"xx","NR"
"xxi","NR"
"xxx","NR"
